Source,Target,Label,Type,Id
1,59,"wrote april fool letter to","Directed",0
2,59,"wrote april fool letter to","Directed",1
3,59,"wrote april fool letter to","Directed",2
4,59,"wrote april fool letter to","Directed",3
5,59,"wrote april fool letter to","Directed",4
6,59,"wrote april fool letter to","Directed",5
7,59,"wrote april fool letter to","Directed",6
8,59,"wrote april fool letter to","Directed",7
9,59,"wrote april fool letter to","Directed",8
10,59,"wrote april fool letter to","Directed",9
11,59,"wrote april fool letter to","Directed",10
12,59,"wrote april fool letter to","Directed",11
13,59,"wrote april fool letter to","Directed",12
14,59,"wrote april fool letter to","Directed",13
15,59,"wrote april fool letter to","Directed",14
16,59,"wrote april fool letter to","Directed",15
17,59,"wrote april fool letter to","Directed",16
18,59,"wrote april fool letter to","Directed",17
19,59,"wrote april fool letter to","Directed",18
20,59,"wrote april fool letter to","Directed",19
21,59,"wrote april fool letter to","Directed",20
22,59,"wrote april fool letter to","Directed",21
23,59,"wrote april fool letter to","Directed",22
24,59,"wrote april fool letter to","Directed",23
25,59,"wrote april fool letter to","Directed",24
26,59,"wrote april fool letter to","Directed",25
27,59,"wrote april fool letter to","Directed",26
28,59,"wrote april fool letter to","Directed",27
29,59,"wrote april fool letter to","Directed",28
30,59,"wrote april fool letter to","Directed",29
31,59,"wrote april fool letter to","Directed",30
32,59,"wrote april fool letter to","Directed",31
33,59,"wrote april fool letter to","Directed",32
34,59,"wrote april fool letter to","Directed",33
35,59,"wrote april fool letter to","Directed",34
36,59,"wrote april fool letter to","Directed",35
37,59,"wrote april fool letter to","Directed",36
38,59,"wrote april fool letter to","Directed",37
39,59,"wrote april fool letter to","Directed",38
40,59,"wrote april fool letter to","Directed",39
41,59,"wrote april fool letter to","Directed",40
42,59,"wrote april fool letter to","Directed",41
43,59,"wrote april fool letter to","Directed",42
44,59,"wrote april fool letter to","Directed",43
45,59,"wrote april fool letter to","Directed",44
46,59,"wrote april fool letter to","Directed",45
47,59,"wrote april fool letter to","Directed",46
48,59,"wrote april fool letter to","Directed",47
49,59,"wrote april fool letter to","Directed",48
50,59,"wrote april fool letter to","Directed",49
51,59,"wrote april fool letter to","Directed",50
52,59,"wrote april fool letter to","Directed",51
53,59,"wrote april fool letter to","Directed",52
54,59,"wrote april fool letter to","Directed",53
55,59,"wrote april fool letter to","Directed",54
56,59,"wrote april fool letter to","Directed",55
57,59,"wrote april fool letter to","Directed",56
58,59,"wrote april fool letter to","Directed",57
65,59,"wrote april fool letter to","Directed",58
75,59,"wrote april fool letter to","Directed",59
60,59,"wrote april fool letter to","Directed",60
64,59,"wrote april fool letter to","Directed",61
66,59,"wrote april fool letter to","Directed",62
67,59,"wrote april fool letter to","Directed",63
61,59,"wrote april fool letter to","Directed",64
62,59,"wrote april fool letter to","Directed",65
63,59,"wrote april fool letter to","Directed",66
68,59,"wrote april fool letter to","Directed",67
69,59,"wrote april fool letter to","Directed",68
70,59,"wrote april fool letter to","Directed",69
71,59,"wrote april fool letter to","Directed",70
72,59,"wrote april fool letter to","Directed",71
73,59,"wrote april fool letter to","Directed",72
74,59,"wrote april fool letter to","Directed",73
76,59,"wrote april fool letter to","Directed",74
77,59,"wrote april fool letter to","Directed",75
78,59,"wrote april fool letter to","Directed",76
79,59,"wrote april fool letter to","Directed",77
101,59,"wrote april fool letter to","Directed",78
7,81,"member of","Directed",79
10,93,"member of","Directed",80
13,93,"member of","Directed",81
43,81,"member of","Directed",82
45,93,"member of","Directed",83
46,93,"member of","Directed",84
47,80,"member of","Directed",85
50,93,"member of","Directed",86
68,83,"member of","Directed",87
2,93,"member of","Directed",88
17,96,"member of","Directed",89
6,96,"member of","Directed",90
18,96,"member of","Directed",91
52,82,"member of","Directed",92
13,82,"member of","Directed",93
50,82,"member of","Directed",94
36,82,"member of","Directed",95
33,82,"member of","Directed",96
33,93,"member of","Directed",97
46,98,"member of","Directed",98
28,83,"member of","Directed",99
28,94,"member of","Directed",100
35,81,"member of","Directed",101
52,94,"member of","Directed",102
69,93,"member of","Directed",103
69,87,"member of","Directed",104
2,99,"member of","Directed",105
14,93,"member of","Directed",106
39,93,"member of","Directed",107
39,100,"member of","Directed",108
12,100,"member of","Directed",109
39,93,"member of","Directed",110
11,80,"member of","Directed",111
11,93,"member of","Directed",112
50,87,"member of","Directed",113
101,93,"member of","Directed",114
101,100,"member of","Directed",115
101,87,"member of","Directed",116
12,99,"member of","Directed",117
12,93,"member of","Directed",118
12,87,"member of","Directed",119
15,93,"member of","Directed",120
15,100,"member of","Directed",121
21,93,"member of","Directed",122
24,102,"member of","Directed",123
27,87,"member of","Directed",124
61,93,"member of","Directed",125
61,81,"member of","Directed",126
62,99,"member of","Directed",127
62,81,"member of","Directed",128
64,87,"member of","Directed",129
64,81,"member of","Directed",130
65,80,"member of","Directed",131
65,83,"member of","Directed",132
66,93,"member of","Directed",133
68,99,"member of","Directed",134
68,93,"member of","Directed",135
68,87,"member of","Directed",136
69,99,"member of","Directed",137
73,87,"member of","Directed",138
73,93,"member of","Directed",139
79,80,"member of","Directed",140
79,102,"member of","Directed",141
58,80,"member of","Directed",142
3,80,"member of","Directed",143
45,80,"member of","Directed",144
10,100,"member of","Directed",145
